timestamp,seconds from start,altitude,servo position
2022-05-23 12:28:01.579281-05:00,0.000429,109.18916609445334,False
2022-05-23 12:28:01.642478-05:00,0.063626,108.50165560387579,False
2022-05-23 12:28:01.705753-05:00,0.126901,108.37665369649805,False
2022-05-23 12:28:01.768987-05:00,0.190135,108.56415655756466,False
2022-05-23 12:28:01.832326-05:00,0.253474,109.0641641870756,False
2022-05-23 12:28:01.886407-05:00,0.307555,108.00164797436484,False
2022-05-23 12:28:01.949701-05:00,0.370849,108.62665751125353,False
2022-05-23 12:28:02.017259-05:00,0.438407,108.75165941863126,False
2022-05-23 12:28:02.081505-05:00,0.502653,108.43915465018692,False
2022-05-23 12:28:02.144609-05:00,0.565757,108.56415655756466,False
2022-05-23 12:28:02.207690-05:00,0.628838,108.06414892805371,False
2022-05-23 12:28:02.271166-05:00,0.692314,108.06414892805371,False
2022-05-23 12:28:02.336760-05:00,0.757908,109.00166323338674,False
2022-05-23 12:28:02.391682-05:00,0.81283,108.25165178912032,False
2022-05-23 12:28:02.446448-05:00,0.867596,108.12664988174258,False
2022-05-23 12:28:02.501450-05:00,0.922598,108.56415655756466,False
2022-05-23 12:28:02.556319-05:00,0.977467,108.50165560387579,False
2022-05-23 12:28:02.611360-05:00,1.032508,109.50167086289768,False
2022-05-23 12:28:02.666185-05:00,1.087333,109.0641641870756,False
2022-05-23 12:28:02.721167-05:00,1.142315,109.00166323338674,False
2022-05-23 12:28:02.775932-05:00,1.19708,109.43916990920881,False
2022-05-23 12:28:02.830918-05:00,1.252066,109.43916990920881,False
2022-05-23 12:28:02.885839-05:00,1.306987,109.25166704814221,False
2022-05-23 12:28:02.940809-05:00,1.361957,109.00166323338674,False
2022-05-23 12:28:02.995621-05:00,1.416769,109.0641641870756,False
2022-05-23 12:28:03.052623-05:00,1.473771,108.75165941863126,False
2022-05-23 12:28:03.110664-05:00,1.531812,108.876661326009,False
2022-05-23 12:28:03.174007-05:00,1.595155,108.62665751125353,False
2022-05-23 12:28:03.237367-05:00,1.658515,108.37665369649805,False
2022-05-23 12:28:03.300716-05:00,1.721864,108.56415655756466,False
2022-05-23 12:28:03.355723-05:00,1.776871,108.50165560387579,False
2022-05-23 12:28:03.419199-05:00,1.840347,109.31416800183108,False
2022-05-23 12:28:03.482538-05:00,1.903686,108.75165941863126,False
2022-05-23 12:28:03.545939-05:00,1.967087,109.43916990920881,False
2022-05-23 12:28:03.609290-05:00,2.030438,109.31416800183108,False
2022-05-23 12:28:03.672453-05:00,2.093601,109.31416800183108,False
2022-05-23 12:28:03.735740-05:00,2.156888,110.12668039978638,False
2022-05-23 12:28:03.799113-05:00,2.220261,109.00166323338674,False
2022-05-23 12:28:03.856662-05:00,2.27781,109.43916990920881,False
2022-05-23 12:28:03.913803-05:00,2.334951,109.0641641870756,False
2022-05-23 12:28:03.968866-05:00,2.390014,108.25165178912032,False
2022-05-23 12:28:04.034347-05:00,2.455495,109.25166704814221,False
2022-05-23 12:28:04.091540-05:00,2.512688,108.50165560387579,False
2022-05-23 12:28:04.156373-05:00,2.577521,108.876661326009,False
2022-05-23 12:28:04.219739-05:00,2.640887,109.56417181658655,False
2022-05-23 12:28:04.282888-05:00,2.704036,108.876661326009,False
2022-05-23 12:28:04.345977-05:00,2.767125,109.18916609445334,False
2022-05-23 12:28:04.409262-05:00,2.83041,109.25166704814221,False
2022-05-23 12:28:04.472417-05:00,2.893565,108.81416037232013,False
2022-05-23 12:28:04.535983-05:00,2.957131,108.56415655756466,False
2022-05-23 12:28:04.599433-05:00,3.020581,108.876661326009,False
2022-05-23 12:28:04.662643-05:00,3.083791,109.43916990920881,False
2022-05-23 12:28:04.725885-05:00,3.147033,108.62665751125353,False
2022-05-23 12:28:04.789225-05:00,3.210373,109.31416800183108,False
2022-05-23 12:28:04.846249-05:00,3.267397,109.0641641870756,False
2022-05-23 12:28:04.903294-05:00,3.324442,109.31416800183108,False
2022-05-23 12:28:04.959465-05:00,3.380613,109.56417181658655,False
2022-05-23 12:28:05.020782-05:00,3.44193,109.00166323338674,False
2022-05-23 12:28:05.081944-05:00,3.503092,109.93917753871976,False
2022-05-23 12:28:05.137917-05:00,3.559065,109.25166704814221,False
2022-05-23 12:28:05.201443-05:00,3.622591,109.50167086289768,False
2022-05-23 12:28:05.264916-05:00,3.686064,109.37666895551995,False
2022-05-23 12:28:05.328663-05:00,3.749811,108.93916227969787,False
2022-05-23 12:28:05.391960-05:00,3.813108,109.31416800183108,False
2022-05-23 12:28:05.455188-05:00,3.876336,109.31416800183108,False
2022-05-23 12:28:05.518501-05:00,3.939649,109.00166323338674,False
2022-05-23 12:28:05.581968-05:00,4.003116,109.81417563134202,False
2022-05-23 12:28:05.645502-05:00,4.06665,109.37666895551995,False
2022-05-23 12:28:05.708902-05:00,4.13005,108.876661326009,False
2022-05-23 12:28:05.772203-05:00,4.193351,109.43916990920881,False
2022-05-23 12:28:05.836856-05:00,4.258004,110.12668039978638,False
2022-05-23 12:28:05.894052-05:00,4.3152,109.25166704814221,False
2022-05-23 12:28:05.950376-05:00,4.371524,109.25166704814221,False
2022-05-23 12:28:06.005432-05:00,4.42658,108.62665751125353,False
2022-05-23 12:28:06.068776-05:00,4.489924,109.00166323338674,False
2022-05-23 12:28:06.128275-05:00,4.549423,109.37666895551995,False
2022-05-23 12:28:06.192582-05:00,4.61373,108.93916227969787,False
2022-05-23 12:28:06.255914-05:00,4.677062,109.0641641870756,False
2022-05-23 12:28:06.321754-05:00,4.742902,109.56417181658655,False
